city,year,brand,model,color,body_type,engine,engine_power,fuel_type,kilometrage,transmission,drivetrain,new,price
Bakı,2006,Kia,Sorento,Qara,Offroader / SUV,2.5 L,170 a.g.,Dizel,313 567 km,Avtomat,Tam,Xeyr,16 800 AZN
Bakı,2005,Kia,Rio,Qara,Hetçbek / Liftbek,1.6 L,112 a.g.,Benzin,225 000 km,Mexaniki,Ön,Xeyr,11 000 AZN
Sumqayıt,2009,Kia,Ceed,Yaş Asfalt,Universal,1.6 L,115 a.g.,Dizel,176 628 km,Mexaniki,Ön,Xeyr,14 500 AZN
Bakı,2013,Kia,Optima,Qara,Sedan,2.0 L,165 a.g.,Benzin,210 000 km,Avtomat,Ön,Xeyr,19 500 AZN
Bakı,2016,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,87 700 km,Avtomat,Ön,Xeyr,45 500 AZN
Bakı,2014,Kia,Optima,Gümüşü,Sedan,2.4 L,150 a.g.,Hibrid,75 000 km,Avtomat,Ön,Xeyr,33 000 AZN
Bakı,2013,Kia,Sorento,Qara,Offroader / SUV,2.4 L,175 a.g.,Benzin,158 000 km,Avtomat,Tam,Xeyr,28 000 AZN
Bakı,2020,Kia,K5,Qara,Sedan,1.6 L,180 a.g.,Benzin,12 500 km,Avtomat,Ön,Xeyr,26 500 $
Bakı,2011,Kia,Rio,Yaş Asfalt,Sedan,1.4 L,107 a.g.,Benzin,150 000 km,Avtomat,Ön,Xeyr,14 900 AZN
Cəlilabad,2013,Kia,Sportage,Qara,Offroader / SUV,2.4 L,176 a.g.,Benzin,99 914 km,Avtomat,Tam,Xeyr,29 000 AZN
Bakı,2008,Kia,Rio,Qara,Sedan,1.4 L,97 a.g.,Benzin,262 010 km,Mexaniki,Ön,Xeyr,11 000 AZN
Bakı,2012,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,64 000 km,Avtomat,Ön,Xeyr,32 900 AZN
Bakı,2013,Kia,Cerato,Boz,Sedan,2.0 L,165 a.g.,Benzin,102 193 km,Avtomat,Ön,Xeyr,21 000 AZN
Bakı,2014,Kia,Optima,Ağ,Sedan,2.4 L,180 a.g.,Benzin,184 000 km,Avtomat,Ön,Xeyr,28 800 AZN
Bakı,2013,Kia,Sportage,Qara,Offroader / SUV,2.4 L,184 a.g.,Benzin,113 000 km,Avtomat,Tam,Xeyr,26 400 AZN
Göyçay,2008,Kia,Sportage,Ağ,Offroader / SUV,2.0 L,141 a.g.,Benzin,170 000 km,Avtomat,Tam,Xeyr,19 700 AZN
Bakı,2007,Kia,Ceed,Yaş Asfalt,Universal,1.6 L,125 a.g.,Dizel,235 412 km,Mexaniki,Ön,Xeyr,14 500 AZN
Bakı,2016,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,101 000 km,Avtomat,Ön,Xeyr,45 000 AZN
Bakı,2010,Kia,Sorento,Gümüşü,Offroader / SUV,2.0 L,184 a.g.,Dizel,205 000 km,Avtomat,Ön,Xeyr,26 500 AZN
